,level_0,text,sentiment
168,168,i dont remember what i text to twitter to get a list of commands  halp,neutral
169,169,waiting on the bus i miss my car,sadness
170,170,and im an idiot for missing their last show,sadness
171,171,t im sooooo bored right now,neutral
172,172,bike trail   miss j   two front teeth    hopefully vacations suck,sadness
173,173,where did you go babe,worry
174,174,i miss u guys too  i prob wont b bk til august sumtime but if i come bk anytime b then ill  sure let u kno,worry
175,175,am i still cant sleep,neutral
176,176,again working on the internet shop  dont think we will achieve the goal of uploading by the previously set time   will keep going,worry
177,177,i miss the concert tuesday already id really like a time machine to go see it again it was so fun,happiness
178,178,have to stay away from home and since this part of india dnt hav gud wireless internet im,sadness
179,179,yesterday a friend of mine was thrown off his horse as a lorry drove past us ignoring us signaling for him to slow down,sadness
180,180,yup  sad eh  betty man  it should have been betty,sadness
181,181,is tired of summer already,sadness
182,182,translation  complicated sht that someone is going to have to teach me,neutral
183,183,looks like the eprocurement email address from office mate is blacklisted by it here asking them to whitelist now,worry
184,184,my siblings left me alone   bored,sadness
185,185,in the bus almost an hour late because of my crappy alarm clock  should be in leeuwarden at about,sadness
186,186,i wish my grandmother had taken me to the us with her,sadness
187,187,i just heard that regina girls song  les deux and i think u shouldhave  come back  mc i miss u,sadness
188,188,ive had a sore throat since monday morning im just sick of it hurtin and i want some freakin sleep,worry
189,189,got back and putting in the laundry we got in there last  o well as long as its clean,neutral
190,190,thats a miserable afterparty report,sadness
191,191,trying to get a sale in my job,worry
192,192,e and joseph in class very long liao,neutral
193,193,aww poor caity  l add people n they will add you,worry
194,194,poltergeist in my house,neutral
195,195,is this a lie fml f uuuuuuu i can be such a fool sometimes,worry
196,196,today is going to be a normal day for i hope we had a group of pilots from a large airline come in last night so it was too much drink,sadness
197,197,no as a result the salary is a decrease,sadness
198,198,fml still awake  melatonin not working,neutral
199,199,i feel sicklike dont wanna get out of bed be bothered dont go  work turn da light off pull da shades n tv off type of sick,sadness
200,200,omg man  ill pray for ya,worry
201,201,why dont we close the library due to the great weather  and the ac isnt working,sadness
202,202,i won my th grade spelling bee went down trailing flames on st word at county spelling bee,happiness
203,203,good morning campers im not a happy bear this morning had an awful dream during the nightam v worried,worry
204,204,need a lots of moneeeeeeeeeeeeeeeey,neutral
205,205,i dont think jon and kate should get a divorce but i do think if they want to save their marriage they have to quit the show,worry
206,206,i have nothing to do,neutral
207,207,u know  kids do what we do  not what we say  well dont we all really,worry
208,208,serious perhaps sat will work out better,neutral
209,209,i got no followers i only have like   someone follow me please,neutral
210,210,did u watch the day the earth stood still did u not see my bye when u got dc  im sad i left  and now ur gone  ily,sadness
211,211,concert next week cancelled  alternative date not known yet dave gahan had a tumor,sadness
212,212,bad day just got worse,sadness
213,213,gotta love how im waking home at midnite dangggg pray for mr im so jumpy,worry
214,214,mmkayy totally going to bedd now i mean it im only gonna get  hours of sleep tonight,worry
215,215,moro is the end of my stay  to bad shes in ny then off ft laud a weddin florida is fun but i miss home and spikecar lol,sadness
216,216,nope i cant figure out how to get the updates on my blackberry   i need to go running too,neutral
217,217,fell asleep waiting for my ride,sadness
218,218,i hate the fact that im  hours away from you tonight and tomorrow well be  miles apart  i wish you were here,worry
219,219,has been underpaid  just when i really didnt need to be as well,sadness
220,220,morning all looks like no nintendo gameboy phone,worry
221,221,okay thank you i cant find it,worry
222,222,my door looks naked   it makes my room feel bigger though,neutral
223,223,i mean monday take the test monday please o please,sadness
224,224,my birthday is now over,sadness
225,225,holy  its super sunny friday and whitsun my tube is deeeesearted wish i was in the park,worry
226,226,i miss my neice  cant wait to see her bad n grown  lol,sadness
227,227,yeah  i downloaded her whole album  the fame  i miss you taking care of me  hahah,worry
228,228,confused on why and how people pose as others on twitter i mean they really do their homework on peoples lives to imitate them its sad,worry
229,229,i miss this place,worry
230,230,what is love baby dont hurt me dont hurt me no more i want to watch night at the ruxbury right now,sadness
231,231,oops cys place is too near trouble for me,worry
232,232,sad that she didnt get to see rica before she leaves later today,worry
233,233,my internet income project has got a big problem today,worry
234,234,my computer is being killed by a combo of mirrors edge and really poor win thermal managementc gpu  one sad game,sadness
235,235,month ahaha and i dunno if i can go tomorrow lmao cause i went today   freakin filipino parents aha,neutral
236,236,a day of administrative jobs,worry
237,237,ahh my right kidney hurts soooo bad ooommmmggggg,worry
238,238,did dives w oceans deep dive m vis no sun no colours dynamite fishing has done its toll on the reefs,worry
239,239,hi mel if you feel unhappy just take a bit of fries but dont overdo  if can help it dont,neutral
240,240,none but yea last weekend was crazy i think i partied to hard thats why im sic,sadness
241,241,not happy with my  wake up call this morning   shes going to be grumpy later,worry
242,242,i get good download speed only when no one else is using the connection,neutral
243,243,thx girl i just now woke up i cnt believe im sick now i have a fever wish i could pound nyquil  this sucks,sadness
244,244,miss you,worry
245,245,its friday  well technically anywaybut its really thursday for me  dang having to work saturday mornings,sadness
246,246,trying to get to sleep but my migraine is getting in the way,worry
247,247,what do you mean jorx,neutral
248,248,i used to have a remote for my tv,neutral
249,249,poor you lmao just stick your head out the window,worry
250,250,my head hurts,worry
251,251,i got a messgae but it didnt work cause i have a text saver not like money credit  im sad now wat do i do xoxo,worry
252,252,i have much to learn,neutral
253,253,haha i wish i could,happiness
254,254,warwick castle  amazing  off to devon for a weekno internet no updates,happiness
255,255,i hate that feeling you get when you listen to a song and it completely reminds you of how things used to beyou get emotional,sadness
256,256,sitting waiting for an exam to start,neutral
257,257,have a golf ball sized swelling on my ankle and its turned black and blue,worry
258,258,i only hve followers,worry
259,259,oh dear travellers moved onto land very near my house they always leave a bloody mess and council take a year b  they clean it up,neutral
260,260,good morning people  in good old germany is it soooo cold,happiness
261,261,youtubes tubes appear to be clogging up somewhat today connection errors a plenty,worry
262,262,hates continually getting sick whenever he has exams,sadness
263,263,lol u got ac right u know its getting chill here again  n its gona rain tmr,worry
264,264,good morning its beautiful here today shame im going to spend most of the day being an unpaid taxi driver,sadness
265,265,a still not the same  im going to have a look though,worry
266,266,you know time was you could look at a web pages source code and figure out how it worked now it takes a lot more effort,neutral
267,267,wishes she would call him    hc,happiness
268,268,is laying in bed wishing i could meet kellan lutz haha im a nerddream on,neutral
269,269,am foodshopping cause i was sick all day and was in hospitals  being alone blows,sadness
270,270,you forgot your fans too  haha,neutral
271,271,being lonely all the time,sadness
272,272,should be going to bed but cannot sleep right now,neutral
273,273,is trying so hard to not worry and be at peace despite her circumstances but wonders why some christians are the ones making it so hard,worry
274,274,i wish i had more chicken wings,worry
275,275,asks can someone pass me some load  kahit  pesos lang,worry
276,276,heading home could really have done without banging my head on the way into the bus,sadness
277,277,first time im going home early  sucks to b single no one to call,sadness
278,278,wish my nicky were home too,happiness
279,279,housemate saw angeldemons last night but left me at home was looking forward to seeing that  wanted  reminise,worry
280,280,ugh im not doin too good,worry
281,281,ew tongue kiss,neutral
282,282,im still working,neutral
283,283,is very cold,sadness
284,284,if not impossible,sadness
285,285,im gladsad that its not just memy iphone,sadness
286,286,likes being friends but it hurts when u love your friend but the feelings arent the same trying to sleep has to really try to give up,sadness
287,287,entered house searching mode yesterday we need to find an apartment in dsseldorf until the end of august this one was temporary,worry
288,288,going down the post office to try and sort this whole ebay hacker thing,sadness
289,289,guess what happened to my butt yesterday yes  annas finger came for a visit and i said nothing about it,neutral
290,290,got another long day of papers and projects tomorrow  but this time one of the projects is shaving its been like  mths lol man legseww,worry
291,291,im sleepy but is feeling under the weather ugh these  tonsils i need some company or somebody to talk too,sadness
292,292,i wish i wasnt all  bummed but i kinda am,sadness
293,293,yupunfortunately  took today off work and just slept all day,sadness
294,294,aww  cant wait till u get  sydney d i missed out on tickets tho o,worry
295,295,have you seen whos knocked you off top spot on wefollow for,neutral
296,296,mom is ok so far just missing jaron,sadness
297,297,has had awful hiccups today and now cant fall asleep because of them,sadness
298,298,use twitter quit life,sadness
299,299,through project car,neutral
300,300,playing bejewled on facebook  it i want a higherscore,neutral
301,301,starting to wonder if im going to get this job came across as though id find work elsewhere if needs must not intentionally,neutral
302,302,cereal doesnt come with toys anymore i jus been thinkin i was buyin the wrong kinds  say it aint so mo,sadness
303,303,i miss cary and want to drink some chocolate milk with him,sadness
304,304,days to recover from ligament damage from now will give me about  days to train for the k,neutral
305,305,im ill hate it seeing the doc at  too,sadness
306,306,thats the crazy part  was for  but reasons include full scheduletravelling with his daughter so not cool,sadness
307,307,i cant work twitter on my phone  were just in bed thinking of funny stuff from last night l good times,happiness
308,308,wishes wag na sana ma reject thesis proposal ko nadedepress na ko eh goodluck annoyed,neutral
309,309,yep i wish they were all playing dubiln,neutral
310,310,lucky rob always gettin the ts from emalon,happiness
311,311,im cold  i still cant find my hoodie,sadness
312,312,um why arent episodes  of lost season  on abc  good thing im going to vegas in the am to keep me distracted from this tragedy,sadness
313,313,going back to manila this evening all my trips to cebu are so bitin,happiness
314,314,just finished watching terminator other than the music nothing is great,neutral
315,315,attempting to sleep my puppy is sick already,worry
316,316,really im an alumnus and i dont know myself and we didnt have macs yet when i was there,sadness
317,317,oh fack u gave me police thats some seriouse,worry
318,318,why didnt i see you,neutral
319,319,i have to study,worry
320,320,type cold in my room,worry
321,321,hours of sleep and a mild hangover  carelessness and the loss of a brand new ipod pouch,sadness
322,322,iso me too she was adorable and you could tell the pressure got to her,happiness
323,323,that bloody free kick after  min  seconds was sooooooo close to going inif only,neutral
324,324,it should be recoverable its just the boot part thats messed up grr argh my business was on there,worry
325,325,im sorry i dont wanna cuz of how u act u just turn right around and ignore me and all that,sadness
326,326,roe oh well  ive never seen him do anything before so im not gonna say anything,neutral
327,327,ugh id better get up for work,sadness
328,328,my dead grandpa pays more attention to me than you do,worry
329,329,theres ding tai fung here in sydney aswell  making me want dumplings,happiness
330,330,arrives in mfk with these potholes i foresee a wheel changing session hai no man,worry
331,331,sigh i always disappoint people who get in my way  everyone  im out i might disappoint everyone else here,worry
332,332,ummmlast night when i dmd you you said it was a good question,worry
333,333,i miss feb rd   best night of my whole entire  life id rather relive that night then win million,sadness
334,334,right now thats about all i can deal with  i work too much and i need my space most women dont offer that,worry
335,335,is sick in the doctors waiting room,neutral
336,336,it just upsets me  becasue like  years we have loved them  and then this happens  imm really uset now x,sadness
337,337,is super tired,neutral
338,338,sus ate i was so upset i wasnt informed at all turns out they told sarms and they expected her to tell me huff,worry
339,339,dreading work tomorrow wish i had one more day off,sadness
340,340,with mph winds,worry
341,341,i chilled in my room with my baby book missed my bro leavin  he really is cool had a stripper shirt on said i suppoort single moms funny,happiness
342,342,its my burfday and im all alone,sadness
343,343,cant freakin sleep and i have a horrible stomach ache,worry
344,344,link no workywork,worry
345,345,its beginning to get way too hard to please all of my friends at once,sadness
346,346,i wish someone would inspire me with some sexy time right now ugh but thats not gonna happen  ugh,sadness
347,347,wide awake wishing i wasnt  nightshift routines got turned down for the job in nashville  oh well,worry
348,348,cant  wish i was sleeping gotta be at work in less than  hours wait whatre u doing up,sadness
349,349,how sad is it that your best friend is so selfish and heartless that they exclude you from their life completelyim so sad,worry
350,350,sad but true   i shouldnt right,sadness
351,351,i miss you soo much,worry
352,352,im new dunno whatta doo,worry
353,353,sorry femaleatl very lonely,neutral
354,354,yeahhh u wasnt thereeeeeeeeeee,happiness
355,355,i really miss my photofiltre and photoscape  gimp is too  confusing,sadness
356,356,beer in the fridge,neutral
357,357,aw i was gonna buy myself something pretty  nvm,neutral
358,358,at last i wrte againgot bored the previous dayss,sadness
359,359,ah this is getting to me,neutral
360,360,im bummed that i didnt get tedx tickets,worry
361,361,back in durham from greensboro but cookouts closed  hmmmm,worry
362,362,idk the original is so great,happiness
363,363,finishing homework  booo,happiness
364,364,driving lesson then off to ikea with the mother and finally work today is going to be,worry
365,365,i want cafe latteeeeeeeeeee,worry
366,366,send me one please i txtd in but i got a new phone,happiness
367,367,although these are a bit tighter smaaaaller than my last pair they were baggy as hell now i get front wedgies,sadness
368,368,ikr,neutral
369,369,caught up with apprentice last night poor howard it was lorraines turn to go,worry
370,370,yea me too  lol,worry
371,371,lol cnt its too slow,neutral
372,372,dont have time to chat sorry girls  miss yall but we have a new lawnmower yeah that was todays highlight tomorrow is,sadness
373,373,cant wait to come home i miss my bubba too bad my parents are taking him to canada,sadness
374,374,im sad sad sad thought my aunty stina coming but no more  i was so looking forward to having familyi miss dat im alone on maui,sadness
375,375,least u can get some more im broke,neutral
376,376,town uncle and gabriel are coming in i miss gabe  tempted to ask if i can go back to baton rouge with and stay with other side of fam,sadness
377,377,i think ive forgotten to mention some people on my video,worry
378,378,so im taking my life guarding classes fri pm sat pm sun pm and mon pm live eat and breath life guard stuff yay,neutral
379,379,k i guess i cant help it byeee eva  m really sad,sadness
380,380,i hate the outofnowhere stuff,sadness
381,381,boys and girls lie a santa not real either,sadness
382,382,ah bibisita ka kina gq bukas o  sasama ka sa rushers eb i wont be able to visit jumpstart tom coz i have something to do,sadness
383,383,last week of july  will you be up and at em by then,worry
384,384,goodnight is not on the trending to  lol,happiness
385,385,fine i give in docs again today not being able to breath this morning made me think i should hate docs,neutral
386,386,whats that the sun no sign here,sadness
387,387,kate i know its heaps awesome if your not working all weekend,sadness
388,388,a friend uses logic and i must admit i did like itbut i dont have a mac,sadness
389,389,cant go to sleeeeeep  whyyyyy,worry
390,390,follow both because i dont know which one will send it ps dont get your hopes up because she may not sen it,neutral
391,391,then he has gone down in my estimation,worry
392,392,lia should have grabbed some on the way to work,neutral
393,393,cat  we all know and yes dont remind me im so effin jealous   aust some times,sadness
394,394,i think im going to be the only lame person to cry for jays last episodelol i wish i were able to go,worry
395,395,i lost followers  was it something i said  i swear i am not into freeballing  ugg that is the last time i mention that thing,worry
396,396,is now crying  omg i am fed up with this pain,sadness
397,397,there were attempts to somehow extend inner classes which would be close to  cant find the ref atm,sadness
398,398,i have to go to the doctor i dont want to cause there i can wait sooo long,worry
399,399,im not proud but os x excels at videophoto editing where the pc lags so much behind,worry
400,400,i had to get the same sized jeans i couldnt get my hips into the s,worry
401,401,i forgot all of those people,worry
402,402,cant take photos of darling harbour fireworks cause its raining  carried all my camera gear to work for nothing,worry
403,403,its natsmith last friday today,neutral
404,404,i dont think the master cleanse was intended for travelers  feeling gross,neutral
405,405,lol what where is it,neutral
406,406,cant believe im peeling from one and a half days of sunshine,sadness
407,407,will be flying to ontario in  hourswill probably stay awakei will be there for a  dayscamping  the first time yayi am sleepy now,happiness
408,408,i wanna go to the beachbut i have to study,sadness
409,409,i noe bt i jus cant help it,worry
410,410,nowhere babe  ice come to do a few jobs here this morning sigh,sadness
411,411,yes  thats a problem,worry
412,412,oh yes i sure will but sad cause i will miss the view at the house am leaving actually,sadness
413,413,so my life has come down to nothing more then making choices ill only regret later,neutral
414,414,its official the twilight saga has endedsighmy life is empty,sadness
415,415,nice action shot   i miss working a pole    dont you see clients everyday  lol,happiness
416,416,nooo im ill  must have paracetamol nice weather today though,sadness
417,417,sorry i didnt go  jesus wasnt feeling it and you know i cant see it with out my best bud well that movie anyways,worry
418,418,bug in  cod system link my map pack isnt working,worry
419,419,watched the bones finale last night in the ukit rocked oh how much i missed zack   is so freakin awesome,happiness
420,420,is now writing word newsbites,sadness
421,421,july issue is stressing me out,neutral
422,422,i checked ulca theyve got a program in producing ill be so much interested in but,worry
423,423,my room is too hot to sleep in,sadness
424,424,looks like a beautiful dayand i am off work til sunday yay no bbq as yet though gonna have to postpone my invitations,happiness
425,425,i overslept  headache,sadness
426,426,just watched hella home movies with my aunt and uncle i miss the days where our whole family got along,worry
427,427,ohhh i wanna go  gahhh but i dunnooooooo s me confuzzzledd should i or not,worry
428,428,my knee hurts,worry
429,429,i need them  it wouldve made my  so much cooler mine are bottle green eeyeathooo,happiness
430,430,im soooo sleepy  but im not a home just yet,sadness
431,431,so slpy day  zzzz,neutral
432,432,its clear intellectually that severing my relationship was best yet my heart seems  b in complete disagreement it hurts so so much,sadness
433,433,chillin after a loooonnnggg day of basketball  hella tired sleepy time zzzz,worry
434,434,i think my ipod touch may be breaking itself,worry
435,435,just tried dming you but it tried to download some strange file so stopped  how come no gmail maccym  missing you  sads,worry
436,436,love the stuff he sell you should help this guy with his logo and shop  its kinda wordart,neutral
437,437,such a nice dayand were all working,happiness
438,438,wrong  your the only one i love they really have several women,sadness
439,439,ugh my neck really hurts  im out aquatards xox,worry
440,440,booooo at least give us what the mantanence is for weve waited this long can we have hints clues or full detail pls,sadness
441,441,at school its so boring,sadness
442,442,the sneezing begins,worry
443,443,good morning off to the gym i go,happiness
444,444,theyre at the bottom of the thing and arent moving at all feels bad man,sadness
445,445,youve got to love fly tippers   worst ive seen is a dead mule dumped on holmbury hill,neutral
446,446,im pretty sure my bum shape will still be imprinted there,neutral
447,447,oh no that bird is back,worry
448,448,working now,neutral
449,449,but  humira isnt right for everyone some respond better to enbrel ask your rheumy but not much longterm testing done,neutral
450,450,hes away longer then me im only away for a few hours,happiness
451,451,lol pr is america lmao he dont like me theres nothing i can do,worry
452,452,wanting to nap but if i sleep i might not wake up before kyle gets here  and sooo hungry,neutral
453,453,went to bed last night with the feeling of a migraine coming and woke up feeling worse,worry
454,454,omfg  whyyyyyy not that sucks and r wtf  tai getcho asses down here,sadness
455,455,i tried and failed,sadness
456,456,were idiots  ok mostly i was skint but hell i couldve done something,sadness
457,457,on my way home in the sunshine with a bag full of my stuff from work,neutral
458,458,happy greys day everyone oh i miss greys,sadness
459,459,im regretting the alcohol i consumed last night my head,worry
460,460,that was a  and its because i missed too many leg sessions recently,worry
461,461,signed up for broadband today could take  weeks,neutral
462,462,afaik a little sad that croccos is no longer available for salsa wed nights bummerienjoyed going there wed nights,sadness
463,463,yeah daw a  wear a mask na,sadness
464,464,was doing a hard copy doc reviewwhile writing comments realized ve forgotten writing ie on papercan hardly recognize or read it back,worry
465,465,stranded  delhi airport  flight delayed,worry
466,466,will b having my last v tomorow   will havelive off of apples n not caffeine  n havecut down on chocolate bye bye chocy,worry
467,467,thank you need to pass my test first,neutral
468,468,im up getting ready for skill cant wait to fail my bio final yay ugh honor classes suckkkk,sadness
